strDrink,strCategory,strGlass,strIngredients,Basic_taste,strInstructions
1-900-FUK-MEUP,Shot,Old-fashioned glass,"['Cranberry Juice', 'Pineapple Juice']",sweet,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
151 Florida Bushwacker,Milk / Float / Shake,Beer mug,"['Milk', 'Vanilla Ice-Cream']",cream,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,Cocktail,White wine glass,['Orange Juice'],sweet,Blend with ice. Serve in a wine glass. Garnish with carrot.
3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,"['Coca-Cola', 'Sweet And Sour', 'Lemon']",sour,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,Ordinary Drink,Collins Glass,['Coca-Cola'],sweet,"Pour 2oz Vodka into a low ball glass, top up with Coke."
50/50,Ordinary Drink,Collins Glass,['Orange Juice'],sweet,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,Ordinary Drink,Collins Glass,"['Sour Mix', '7-Up']",sweet,Mix equal amounts into a glass with ice.
69 Special,Ordinary Drink,Collins Glass,"['7-Up', 'Lemon Juice']",sour,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
9 1/2 Weeks,Cocktail,Cocktail glass,['Orange Juice'],sweet,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,Ordinary Drink,Highball glass,"['Grenadine', 'Orange Juice']",sweet,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,Ordinary Drink,Highball glass,"['Ginger Beer', 'Lemon Peel']",sour,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,Cocktail,Collins glass,"['Cranberry Juice', 'Orange Juice']",sweet,"Shaken, not stirred!"
A Night In Old Mandalay,Ordinary Drink,Highball glass,"['Ginger Ale', 'Lemon Peel', 'Lemon Juice', 'Orange Juice']",sweet,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
A Piece of Ass,Other/Unknown,Highball glass,['Sour Mix'],sour,Put ice in glass. Pour in shots. Fill with Sour Mix.
A Splash of Nash,Shot,Highball glass,"['Soda Water', 'Cranberry Juice']",sour,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
